timestamp_utc,source,open,high,low,close,volume,taker_buy_vol,cvd,funding_rate,oi,oi_value,toptrader_ls_acct,toptrader_ls_pos,global_ls_acct,taker_ls_ratio,ep,vp,prof,unprof,vu,rekt,apex,whale,large,medium,small,ep_profPct,vu_profPct,ep_btc,vp_btc,prof_btc,unprof_btc,vu_btc,rekt_btc,apex_btc,whale_btc,large_btc,medium_btc,small_btc,ep_sn,ep_btc_sn,ep_ln,ep_btc_ln,tz,er,ecc,ecc_d1,ecc_d3,rv24,rv96,rv_ts,ma200,ma200_slope,adx,plus_di,minus_di,regime,vp_poc,vp_vah,vp_val,vp_delta,vp_poc_delta,vp_pos,vp_poc_dist,vp96_poc,vp96_vah,vp96_val,vp96_delta,vp96_poc_delta,vp96_pos,vp96_poc_dist,spot_close,basis,basis_pct,cvd_spot,cvd_spot_d,cvd_perp_d,cvd_div
2026-04-19 22:00,hourly,74379.4,74379.5,73700.2,74005.0,16669.971,7757.947,28168.62,-0.00012276,96177.2920000000000000,7126948927.2424000000000000,0.97974383,0.77963900,0.94564834,1.68343600,38.01,57.95,61.54,46.53,50.02,56.53,53.62,46.9,48.64,52.2,49.51,,,32.8,68.19,57.62,39.54,58.58,44.83,48.89,51.31,42.33,44.28,33.18,577405342.0,228179586.0,354064095.0,111368868.0,0.2,0.55,watch,-0.95,,29.51,36.12,0.817,74230.964000,0.003901,31.549007,12.287339,36.001492,CHOP,75550.0,75875.0,74900.0,-1522.8,184.7,below_val,-2.088,74725.0,76675.0,74150.0,3990.5,1190.4,below_val,-0.973,74047.3,-42.3,-0.0571,-47105.87,-165.8,-1154.07,-988.27
2026-04-19 23:00,hourly,74005.0,74018.6,73746.4,73758.4,5380.331,2508.132,27804.55,-0.00012276,95708.9100000000000000,7071318822.8760000000000000,1.03143158,0.76930700,0.99110154,1.40607700,38.16,58.2,60.76,45.78,48.74,56.86,52.57,47.34,48.43,50.82,49.48,,,33.2,68.78,56.16,38.75,56.87,43.4,48.66,49.04,42.31,41.25,33.61,577417890.0,226290947.0,356308339.0,112488702.0,0.29,0.794,standaside,-0.55,,29.84,36.2,0.824,74235.669500,0.003745,32.803291,11.742651,34.405574,CHOP,75550.0,76075.0,74875.0,-2424.3,184.7,below_val,-2.429,74725.0,76725.0,74075.0,2225.7,1187.7,below_val,-1.31,73801.8,-43.4,-0.0588,-47173.76,-67.89,-364.07,-296.18
2026-04-20 00:00,hourly,73758.4,74322.9,73669.0,74228.1,9071.563,5000.561,28734.11,-4.615e-05,95293.0320000000000000,7076345322.1852190000000000,1.04915496,0.76849300,1.01720272,1.92365700,40.74,57.88,59.28,45.77,48.23,56.57,54.36,46.74,47.81,50.48,49.76,,,32.72,69.03,51.75,39.41,56.21,43.36,48.6,48.99,40.86,40.81,34.49,577630245.0,226399111.0,397085246.0,110080020.0,1.55,0.572,watch,-0.05,,33.02,36.73,0.899,74241.853500,0.003647,32.863949,15.322338,30.865800,CHOP,75550.0,76150.0,74775.0,-3083.9,184.7,below_val,-1.781,74725.0,76775.0,74075.0,1754.2,1278.3,in_va,-0.669,74280.0,-51.9,-0.0699,-47102.42,71.34,929.56,858.22
2026-04-20 01:00,hourly,74228.1,74697.6,74167.6,74549.4,5474.771,3085.288,29429.91,-4.615e-05,95273.4020000000000000,7111972282.9650400000000000,1.04960042,0.77002600,1.02265078,0.76319200,41.04,58.43,59.68,46.81,49.63,56.56,54.35,47.05,48.61,52.24,50.4,,,33.38,69.77,53.39,40.22,57.87,43.36,48.55,48.99,42.3,43.49,34.92,579320910.0,227837939.0,403208218.0,114148232.0,1.74,0.393,standaside,0.58,,34.42,36.91,0.933,74249.319500,0.003579,31.766590,19.885515,28.322339,UP,75525.0,76150.0,74675.0,-1766.8,-560.8,below_val,-1.309,74725.0,76475.0,73825.0,2779.1,1322.8,in_va,-0.236,74595.1,-45.7,-0.0613,-47043.96,58.46,695.8,637.34
2026-04-20 02:00,hourly,74549.5,74588.3,74254.9,74364.5,2909.538,1249.163,29018.7,-4.615e-05,95203.8940000000000000,7088094740.7347890000000000,0.97652853,0.75950700,1.00459327,0.55215200,42.01,58.9,62.02,47.28,50.24,57.82,54.53,47.8,50.61,52.57,50.38,,,36.58,70.38,59.04,41.29,58.08,46.1,50.0,50.67,46.02,44.19,34.85,579597160.0,228734564.0,419889422.0,131922084.0,2.15,0.335,standaside,3.38,,34.56,36.87,0.937,74253.562500,0.003474,30.747615,18.834117,26.824864,UP,75525.0,76150.0,74625.0,-1011.2,-623.2,below_val,-1.561,74725.0,76475.0,73825.0,3642.3,1322.8,in_va,-0.485,74410.0,-45.5,-0.0611,-47202.2,-158.24,-411.21,-252.97
2026-04-20 03:00,hourly,74364.5,74600.0,74309.8,74593.9,3778.122,2242.444,29725.47,-4.615e-05,95263.5010000000000000,7106287720.7486850000000000,0.97892638,0.76616800,1.01081241,1.22537300,41.61,58.82,61.92,46.68,49.66,57.9,54.63,47.13,50.49,51.65,50.12,,,35.47,70.35,58.96,41.21,56.22,45.96,49.97,49.07,45.94,41.47,34.84,579471668.0,228353078.0,412969015.0,125527466.0,1.88,0.058,standaside,2.75,,35.23,36.99,0.952,74258.352500,0.003384,29.764853,18.135127,25.558157,UP,75525.0,76150.0,74525.0,-1163.6,-635.3,in_va,-1.248,74725.0,76475.0,73825.0,2982.8,1251.8,in_va,-0.176,74634.0,-40.1,-0.0537,-47128.95,73.26,706.77,633.51
2026-04-20 04:00,hourly,74593.9,74598.1,74389.1,74523.7,1990.29,891.645,29518.47,-4.615e-05,95368.9540000000000000,7108563408.7750000000000000,0.98147384,0.76717500,1.01055315,2.18346100,41.61,59.32,62.08,46.48,50.36,58.14,54.44,47.37,51.16,51.49,50.43,,,35.44,70.13,59.43,41.62,58.25,45.98,49.92,47.16,48.36,41.33,35.41,582324185.0,229150186.0,415026005.0,125787113.0,1.95,0.081,standaside,2.06,,34.89,37.0,0.943,74264.706500,0.003313,28.852289,17.494402,24.655172,UP,74025.0,75425.0,73750.0,-292.3,-634.4,in_va,0.669,74725.0,76475.0,73825.0,3820.5,1251.8,in_va,-0.27,74567.6,-43.9,-0.0589,-47179.0,-50.05,-207.0,-156.95
2026-04-20 05:00,hourly,74523.7,74523.7,74061.2,74226.5,3849.183,1545.769,28760.82,-4.615e-05,95361.4970000000000000,7082259978.4475000000000000,0.97482531,0.77143700,0.99693135,1.82941800,40.82,59.68,61.93,46.18,50.07,57.66,54.15,46.79,51.0,51.25,50.06,,,35.39,70.14,59.03,41.64,57.88,45.07,49.45,47.17,48.16,40.84,35.23,581799787.0,229421431.0,401326237.0,125672463.0,1.51,0.253,standaside,-1.19,,35.45,37.16,0.954,74268.915500,0.003211,28.740474,16.135802,28.246295,CHOP,74500.0,75350.0,73750.0,-753.8,-122.9,in_va,-0.368,74725.0,76500.0,73825.0,1700.1,1251.8,in_va,-0.672,74264.1,-37.6,-0.0506,-47149.08,29.92,-757.65,-787.57
2026-04-20 06:00,hourly,74226.5,74860.0,74206.7,74751.1,5500.076,3005.484,29271.71,-4.615e-05,95551.1850000000000000,7134338783.1435000000000000,0.97806443,0.77166400,1.00943607,0.85494900,41.39,58.97,61.5,45.8,50.26,57.61,54.48,46.42,50.84,50.6,49.92,,,35.39,69.96,58.44,41.11,58.37,45.16,49.45,47.33,48.23,39.48,35.06,578466462.0,228271461.0,408481255.0,125027073.0,1.57,0.054,standaside,-0.08,,38.3,37.78,1.014,74276.004500,0.003135,27.540996,19.869736,25.261975,UP,74500.0,75300.0,73750.0,-2082.8,-122.9,in_va,0.336,74725.0,76500.0,73825.0,993.4,1251.8,in_va,0.035,74786.6,-35.5,-0.0475,-47066.07,83.02,510.89,427.87
2026-04-20 07:00,hourly,74751.2,75539.3,74618.0,74795.5,14105.339,7297.103,29760.58,-4.615e-05,95168.1350000000000000,7105687973.7861510000000000,0.96751058,0.76713300,1.00299815,0.82827300,41.38,59.16,61.9,46.15,50.46,59.86,54.48,47.44,51.51,50.75,50.07,,,35.37,69.93,58.21,41.32,58.61,49.22,49.45,50.36,49.47,39.73,34.9,582006881.0,230054529.0,410891026.0,125921820.0,1.68,0.151,standaside,-0.07,,38.19,37.56,1.017,74284.915000,0.003101,26.381161,27.317381,21.769000,UP,74500.0,75225.0,73750.0,-1129.2,15.7,in_va,0.395,74725.0,76475.0,73825.0,2033.9,1199.0,in_va,0.094,74837.2,-41.7,-0.0557,-46889.93,176.14,488.87,312.73
