create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-05-25 02:55:00,BTCUSDT,99347.4610000000000000,7659147037.3054250000000000,1.16705882,1.11923500,1.14406823,0.30875000
2026-05-25 03:00:00,BTCUSDT,99339.1110000000000000,7655479184.0151000000000000,1.16652303,1.11922500,1.14352368,0.46515000
2026-05-25 03:05:00,BTCUSDT,99349.1250000000000000,7656016653.7937060000000000,1.16574268,1.11966900,1.14225722,0.75042000
2026-05-25 03:10:00,BTCUSDT,99362.0030000000000000,7655839574.9344820000000000,1.16507971,1.11950700,1.14160696,1.21023400
2026-05-25 03:15:00,BTCUSDT,99329.3000000000000000,7654037735.9600000000000000,1.16324191,1.11851200,1.13950546,1.80095000
2026-05-25 03:20:00,BTCUSDT,99341.4070000000000000,7655591744.1981430000000000,1.16297437,1.11850400,1.13895877,1.39309400
2026-05-25 03:25:00,BTCUSDT,99351.8440000000000000,7655367570.9164000000000000,1.16297769,1.11916600,1.13855952,1.48125300
2026-05-25 03:30:00,BTCUSDT,99327.3530000000000000,7653170201.7244310000000000,1.16282067,1.11836500,1.13862839,0.48700200
2026-05-25 03:35:00,BTCUSDT,99333.8510000000000000,7653627733.2843140000000000,1.16207705,1.11859500,1.13755116,0.61532900
2026-05-25 03:40:00,BTCUSDT,99338.8700000000000000,7655657980.5173870000000000,1.16213799,1.11898500,1.13756627,1.26322800
2026-05-25 03:45:00,BTCUSDT,99343.2790000000000000,7653874381.7801970000000000,1.16148524,1.11903100,1.13644872,0.90238600
2026-05-25 03:50:00,BTCUSDT,99355.1750000000000000,7651742568.4980870000000000,1.16000929,1.11779300,1.13486763,0.49321700
2026-05-25 03:55:00,BTCUSDT,99352.3410000000000000,7651153954.0040840000000000,1.15948137,1.11801200,1.13380711,1.18854900
2026-05-25 04:00:00,BTCUSDT,99351.6530000000000000,7649008724.1813920000000000,1.15890470,1.11771400,1.13296751,0.46134400
2026-05-25 04:05:00,BTCUSDT,99362.0530000000000000,7649705608.7746000000000000,1.15821961,1.11782100,1.13168213,1.47578200
2026-05-25 04:10:00,BTCUSDT,99381.4720000000000000,7654269442.3837720000000000,1.15691726,1.11760100,1.13042541,0.91196100
